Found 612 unique locations with Flexitricity load curtailment/drop components
Format: Tab-separated values (copy and paste into Excel)

====================================================================================================
Location	Status	Delivery Year	Auction	Description	CMU ID	Google Maps URL
100 Princes Road Hulme, Manchester, M15 5AS	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=100%20Princes%20Road%20Hulme%2C%20Manchester%2C%20M15%205AS&t=k
105 Kelynmead Road Sheldon, Birmingham, B338LF	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=105%20Kelynmead%20Road%20Sheldon%2C%20Birmingham%2C%20B338LF&t=k
107/111 High Street Wath Upon Dearne, Rotherham, S63 7PX	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=107/111%20High%20Street%20Wath%20Upon%20Dearne%2C%20Rotherham%2C%20S63%207PX&t=k
108/110 High Street Strood, Kent, ME2 4TR	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=108/110%20High%20Street%20Strood%2C%20Kent%2C%20ME2%204TR&t=k
110-114 High Street , Hoddesdon, EN118HD	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=110-114%20High%20Street%20%2C%20Hoddesdon%2C%20EN118HD&t=k
111-127 Front Street  NG5 7ED	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=111-127%20Front%20Street%20%20NG5%207ED&t=k
114 London Road  SK7 4AG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=114%20London%20Road%20%20SK7%204AG&t=k
118 Forest Road New Ollerton, Newark, NG229PL	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=118%20Forest%20Road%20New%20Ollerton%2C%20Newark%2C%20NG229PL&t=k
12 Chapel Street CV21 3EB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=12%20Chapel%20Street%20CV21%203EB&t=k
125 Fullarton Drive, Glasgow East Investment Park GLASGOW G32 8FG	INACTIVE	2022	2022-23 (T-4) Four Year Ahead Capacity Auction	Load curtailment via standby generation exporting excess	F18075	https://www.google.com/maps?q=125%20Fullarton%20Drive%2C%20Glasgow%20East%20Investment%20Park%20GLASGOW%20G32%208FG&t=k
126 Smithdown Road , Liverpool, L15 3JR	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=126%20Smithdown%20Road%20%2C%20Liverpool%2C%20L15%203JR&t=k
13/15 Crook Log Bexley HeathLondon, London, DA6 8EQ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=13/15%20Crook%20Log%20Bexley%20HeathLondon%2C%20London%2C%20DA6%208EQ&t=k
130 Chase Side , London, N14 5PW	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=130%20Chase%20Side%20%2C%20London%2C%20N14%205PW&t=k
1300 Duke Street Parkhead Forge G31 4EB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=1300%20Duke%20Street%20Parkhead%20Forge%20G31%204EB&t=k
140 Graham Road  DA6 7BN	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=140%20Graham%20Road%20%20DA6%207BN&t=k
142 London Road , London, KT2 6QL	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=142%20London%20Road%20%2C%20London%2C%20KT2%206QL&t=k
144 Houghton Road Thurnscoe, Barnsley, S630JZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=144%20Houghton%20Road%20Thurnscoe%2C%20Barnsley%2C%20S630JZ&t=k
147 New Line , Bradford, BD10 0BT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=147%20New%20Line%20%2C%20Bradford%2C%20BD10%200BT&t=k
15 Vickerton Street  KA26 9HF	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=15%20Vickerton%20Street%20%20KA26%209HF&t=k
151 East Ferry Road  E14 3BT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=151%20East%20Ferry%20Road%20%20E14%203BT&t=k
151 ORIENTAL ROAD, WOKING, GU22 8BD	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=151%20ORIENTAL%20ROAD%2C%20WOKING%2C%20GU22%208BD&t=k
158 Clapton Common Stamford Hill, London, E5 9AG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=158%20Clapton%20Common%20Stamford%20Hill%2C%20London%2C%20E5%209AG&t=k
161 High Street Ramsgate, Kent, CT11 9TT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=161%20High%20Street%20Ramsgate%2C%20Kent%2C%20CT11%209TT&t=k
163 Beverley Road , Hull, HU3 1TY	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=163%20Beverley%20Road%20%2C%20Hull%2C%20HU3%201TY&t=k
17 Hallam Road  FK5 3DB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=17%20Hallam%20Road%20%20FK5%203DB&t=k
171  Towngate , Leyland, PR252TE	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=171%20%20Towngate%20%2C%20Leyland%2C%20PR252TE&t=k
172-174 Rye Lane, Peckham, London Borough of Southwark, London, SE15 4NB	INACTIVE	2024	2024-25 (T-1) One Year Ahead Capacity Auction	Load curtailment	F23082	https://www.google.com/maps?q=172-174%20Rye%20Lane%2C%20Peckham%2C%20London%20Borough%20of%20Southwark%2C%20London%2C%20SE15%204NB&t=k
172-174 Rye Lane PeckhamLondon, London, SE15  4NB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=172-174%20Rye%20Lane%20PeckhamLondon%2C%20London%2C%20SE15%20%204NB&t=k
184 Loughborough Road  NG2 7JA	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=184%20Loughborough%20Road%20%20NG2%207JA&t=k
